assay,antigen,type,group1,group2,n1,n2,p (Mann-Whitney U-test),p.adjusted (BH),p.adjusted(BH),Median BNT162b2 / Median mRNA-1273
ADCD,S,Function,BNT162b2,mRNA-1273,45,28,0.424,0.520914286,,1.001331558
ADCP,B1.1.7,Function,BNT162b2,mRNA-1273,45,28,0.291,0.421540984,,1.005131633
ADCP,D614G.E484K,Function,BNT162b2,mRNA-1273,45,28,0.352,0.465723077,,1.0144136
ADCP,D614G.K417N,Function,BNT162b2,mRNA-1273,45,28,0.843,0.854941176,,0.949885301
ADCP,D614G.S,Function,BNT162b2,mRNA-1273,45,28,0.826,0.854941176,,0.98442599
ADCP,S,Function,BNT162b2,mRNA-1273,45,28,0.679,0.739164557,,0.991814412
ADNKA.CD107a,S,Function,BNT162b2,mRNA-1273,45,28,0.0329,0.14147,,0.871440897
ADNKA.IFNg,S,Function,BNT162b2,mRNA-1273,45,28,0.0247,0.118011111,,0.806703911
ADNKA.MIP1b,S,Function,BNT162b2,mRNA-1273,45,28,0.0206,0.110725,,0.927263731
ADNP,B1.1.7,Function,BNT162b2,mRNA-1273,45,28,0.765,0.812222222,,1.054443865
ADNP,D614G.E484K,Function,BNT162b2,mRNA-1273,45,28,0.0836,0.217866667,,1.188122095
ADNP,D614G.K417N,Function,BNT162b2,mRNA-1273,45,28,0.8,0.83902439,,1.069177624
ADNP,D614G.S,Function,BNT162b2,mRNA-1273,45,28,0.0702,0.213517241,,1.191536412
ADNP,S,Function,BNT162b2,mRNA-1273,45,28,0.00835,0.051292857,,0.577114428
FCGR2A,Alpha,FcR,BNT162b2,mRNA-1273,45,28,0.0411,0.160663636,,0.809977305
FCGR2A,Beta,FcR,BNT162b2,mRNA-1273,45,28,0.0777,0.217866667,,0.944803867
FCGR2A,Gamma,FcR,BNT162b2,mRNA-1273,45,28,0.0219,0.110788235,,0.838404304
FCGR2A,NTD,FcR,BNT162b2,mRNA-1273,45,28,0.00132,0.0155875,*,0.478167939
FCGR2A,RBD,FcR,BNT162b2,mRNA-1273,45,28,0.12,0.24,,0.91185552
FCGR2A,S,FcR,BNT162b2,mRNA-1273,45,28,0.099,0.218748718,,0.913178134
FCGR2A,S1,FcR,BNT162b2,mRNA-1273,45,28,0.0977,0.218748718,,0.894409237
FCGR2A,S2,FcR,BNT162b2,mRNA-1273,45,28,0.192,0.33712,,0.960028162
FCGR2B,Alpha,FcR,BNT162b2,mRNA-1273,45,28,0.114,0.23752381,,1.02057036
FCGR2B,Beta,FcR,BNT162b2,mRNA-1273,45,28,0.254,0.390071429,,0.973188295
FCGR2B,Gamma,FcR,BNT162b2,mRNA-1273,45,28,0.0617,0.210369231,,0.958111618
FCGR2B,NTD,FcR,BNT162b2,mRNA-1273,45,28,0.00185,0.017677778,*,0.923747277
FCGR2B,RBD,FcR,BNT162b2,mRNA-1273,45,28,0.231,0.374830189,,1.140448397
FCGR2B,S,FcR,BNT162b2,mRNA-1273,45,28,0.0988,0.218748718,,0.917936636
FCGR2B,S1,FcR,BNT162b2,mRNA-1273,45,28,0.194,0.33712,,0.924126431
FCGR2B,S2,FcR,BNT162b2,mRNA-1273,45,28,0.274,0.413403509,,0.979386588
FCGR3A,Alpha,FcR,BNT162b2,mRNA-1273,45,28,0.102,0.2193,,0.893597505
FCGR3A,Beta,FcR,BNT162b2,mRNA-1273,45,28,0.337,0.45284375,,0.963863471
FCGR3A,Gamma,FcR,BNT162b2,mRNA-1273,45,28,0.0714,0.213517241,,0.974805766
FCGR3A,NTD,FcR,BNT162b2,mRNA-1273,45,28,0.00625,0.041346154,*,0.36543091
FCGR3A,RBD,FcR,BNT162b2,mRNA-1273,45,28,0.218,0.360538462,,1.038799705
FCGR3A,S,FcR,BNT162b2,mRNA-1273,45,28,0.238,0.379037037,,0.96361103
FCGR3A,S1,FcR,BNT162b2,mRNA-1273,45,28,0.245,0.383090909,,0.949891246
FCGR3A,S2,FcR,BNT162b2,mRNA-1273,45,28,0.298,0.421540984,,1.014261289
FCGR3B,Alpha,FcR,BNT162b2,mRNA-1273,45,28,0.116,0.23752381,,0.854297896
FCGR3B,Beta,FcR,BNT162b2,mRNA-1273,45,28,0.145,0.283409091,,0.940755231
FCGR3B,Gamma,FcR,BNT162b2,mRNA-1273,45,28,0.0469,0.173433333,,0.831052335
FCGR3B,NTD,FcR,BNT162b2,mRNA-1273,45,28,0.00317,0.024783636,*,0.643393148
FCGR3B,RBD,FcR,BNT162b2,mRNA-1273,45,28,0.208,0.350745098,,0.996875391
FCGR3B,S,FcR,BNT162b2,mRNA-1273,45,28,0.0636,0.210369231,,0.902698087
FCGR3B,S1,FcR,BNT162b2,mRNA-1273,45,28,0.165,0.308478261,,0.902919351
FCGR3B,S2,FcR,BNT162b2,mRNA-1273,45,28,0.196,0.33712,,1.024789439
IgA1,Alpha,Titer,BNT162b2,mRNA-1273,45,28,2.55E-05,0.0010965,**,0.463312369
IgA1,Beta,Titer,BNT162b2,mRNA-1273,45,28,0.364,0.471074627,,0.846467391
IgA1,Gamma,Titer,BNT162b2,mRNA-1273,45,28,0.000539,0.007940667,**,0.604938272
IgA1,NTD,Titer,BNT162b2,mRNA-1273,45,28,0.00145,0.0155875,*,0.803225806
IgA1,RBD,Titer,BNT162b2,mRNA-1273,45,28,1.64E-05,0.0010965,**,0.390526316
IgA1,S,Titer,BNT162b2,mRNA-1273,45,28,0.000425,0.007940667,**,0.435353146
IgA1,S1,Titer,BNT162b2,mRNA-1273,45,28,9.43E-05,0.002703267,**,0.427083333
IgA1,S2,Titer,BNT162b2,mRNA-1273,45,28,0.0389,0.159304762,,0.677667767
IgG1,Alpha,Titer,BNT162b2,mRNA-1273,45,28,0.502,0.583405405,,3.098039216
IgG1,Beta,Titer,BNT162b2,mRNA-1273,45,28,0.626,0.690205128,,1.763221154
IgG1,Gamma,Titer,BNT162b2,mRNA-1273,45,28,0.582,0.65225974,,2.101321586
IgG1,NTD,Titer,BNT162b2,mRNA-1273,45,28,0.762,0.812222222,,1.580952381
IgG1,RBD,Titer,BNT162b2,mRNA-1273,45,28,0.584,0.65225974,,2.762979684
IgG1,S,Titer,BNT162b2,mRNA-1273,45,28,0.367,0.471074627,,4.755230126
IgG1,S1,Titer,BNT162b2,mRNA-1273,45,28,0.287,0.421540984,,3.877933238
IgG1,S2,Titer,BNT162b2,mRNA-1273,45,28,0.299,0.421540984,,3.690941385
IgG2,Alpha,Titer,BNT162b2,mRNA-1273,45,28,0.0111,0.06364,,0.603252033
IgG2,Beta,Titer,BNT162b2,mRNA-1273,45,28,0.444,0.530333333,,0.980777096
IgG2,Gamma,Titer,BNT162b2,mRNA-1273,45,28,0.524,0.600853333,,0.879478827
IgG2,NTD,Titer,BNT162b2,mRNA-1273,45,28,0.845,0.854941176,,1
IgG2,RBD,Titer,BNT162b2,mRNA-1273,45,28,0.00619,0.041346154,*,0.806349206
IgG2,S,Titer,BNT162b2,mRNA-1273,45,28,0.072,0.213517241,,0.504761905
IgG2,S1,Titer,BNT162b2,mRNA-1273,45,28,0.0931,0.218748718,,0.576055523
IgG2,S2,Titer,BNT162b2,mRNA-1273,45,28,0.31,0.43,,0.678524374
IgG3,Alpha,Titer,BNT162b2,mRNA-1273,45,28,0.188,0.33712,,0.728257599
IgG3,Beta,Titer,BNT162b2,mRNA-1273,45,28,0.0939,0.218748718,,0.760784314
IgG3,Gamma,Titer,BNT162b2,mRNA-1273,45,28,0.082,0.217866667,,0.660787992
IgG3,NTD,Titer,BNT162b2,mRNA-1273,45,28,0.0262,0.118589474,,0.742081448
IgG3,RBD,Titer,BNT162b2,mRNA-1273,45,28,0.439,0.530333333,,0.713010803
IgG3,S,Titer,BNT162b2,mRNA-1273,45,28,0.329,0.449111111,,0.839126254
IgG3,S1,Titer,BNT162b2,mRNA-1273,45,28,0.474,0.558410959,,0.886315789
IgG3,S2,Titer,BNT162b2,mRNA-1273,45,28,0.374,0.473,,0.95693611
IgM,Alpha,Titer,BNT162b2,mRNA-1273,45,28,0.0484,0.173433333,,1.247706422
IgM,Beta,Titer,BNT162b2,mRNA-1273,45,28,0.000554,0.007940667,**,1.357778942
IgM,Gamma,Titer,BNT162b2,mRNA-1273,45,28,0.00255,0.02193,*,1.359477124
IgM,NTD,Titer,BNT162b2,mRNA-1273,45,28,0.893,0.893,,1
IgM,RBD,Titer,BNT162b2,mRNA-1273,45,28,0.0826,0.217866667,,1.542444979
IgM,S,Titer,BNT162b2,mRNA-1273,45,28,0.164,0.308478261,,1.107269504
IgM,S1,Titer,BNT162b2,mRNA-1273,45,28,0.411,0.51226087,,1.027149321
IgM,S2,Titer,BNT162b2,mRNA-1273,45,28,0.0992,0.218748718,,1.456335184