assay,antigen,type,group1,group2,n1,n2,p (Mann-Whitney U-test),p.adjusted (BH),p.adjusted(BH),log10 MFI difference
IgG1,B.1.351.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.80244516
IgG1,B.1.617.2.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.712537535
IgG1,B.617.1.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.724911665
IgG3,B.1.617.2.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.708398101
IgG3,B.617.1.RBD,Titer,M,NInf,16,10,3.77E-07,1.92E-05,***,0.703347974
FcR2B,B.1.1.7.S,FcR,P,NInf,15,10,6.12E-07,1.92E-05,***,1.044309633
FcR3A,B.1.1.7.S,FcR,P,NInf,15,10,6.12E-07,1.92E-05,***,0.524340146
FcR3A,B.1.351.RBD,FcR,P,NInf,15,10,6.12E-07,1.92E-05,***,1.245817627
IgG1,B.1.351.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.507467973
IgG1,B.617.1.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.432364312
IgG1,P1.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.09876628
IgG3,B.1.351.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.501919113
IgG3,P1.RBD,Titer,P,NInf,15,10,6.12E-07,1.92E-05,***,0.113523044
FcR2A,WT.S1,FcR,M,NInf,16,10,7.53E-07,1.92E-05,***,1.573607779
FcR3A,WT.S1,FcR,M,NInf,16,10,7.53E-07,1.92E-05,***,1.507476987
IgG3,B.1.351.RBD,Titer,M,NInf,16,10,7.53E-07,1.92E-05,***,0.774566606
FcR2A,B.1.1.7.S,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,0.504872268
FcR2A,WT.S1,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,1.444335963
FcR2B,WT.S1,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,1.731929097
FcR3A,WT.S1,FcR,P,NInf,15,10,1.22E-06,2.05E-05,***,1.411888048
IgG1,B.1.1.7.S,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.711505299
IgG1,B.1.617.2.RBD,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.382635859
IgG1,WT.S1,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.946138253
IgG3,B.617.1.RBD,Titer,P,NInf,15,10,1.22E-06,2.05E-05,***,0.487655994
FcR2A,B.1.1.7.S,FcR,M,NInf,16,10,1.51E-06,2.05E-05,***,0.564526739
FcR2A,B.1.351.RBD,FcR,M,NInf,16,10,1.51E-06,2.05E-05,***,1.483115016
FcR3A,B.1.351.RBD,FcR,M,NInf,16,10,1.51E-06,2.05E-05,***,1.508975128
IgG1,B.1.1.7.S,Titer,M,NInf,16,10,1.51E-06,2.05E-05,***,0.969903943
IgG1,B.1.351.S,Titer,M,NInf,16,10,1.51E-06,2.05E-05,***,0.871115695
IgG1,WT.S1,Titer,M,NInf,16,10,1.51E-06,2.05E-05,***,1.240158209
FcR2A,B.1.351.RBD,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,1.276600038
FcR2A,B.1.351.S,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,0.19605351
FcR3A,B.617.1.RBD,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,1.189603732
FcR3B,WT.S1,FcR,P,NInf,15,10,2.45E-06,2.69E-05,***,1.702799961
IgG3,B.1.617.2.RBD,Titer,P,NInf,15,10,2.45E-06,2.69E-05,***,0.380476827
FcR2B,WT.S1,FcR,M,NInf,16,10,2.64E-06,2.69E-05,***,1.92145892
FcR3A,B.1.1.7.S,FcR,M,NInf,16,10,2.64E-06,2.69E-05,***,0.616241489
FcR3A,B.617.1.RBD,FcR,M,NInf,16,10,2.64E-06,2.69E-05,***,1.445137331
FcR3B,WT.S1,FcR,M,NInf,16,10,2.64E-06,2.69E-05,***,1.891680535
IgG3,WT.S1,Titer,M,NInf,16,10,2.64E-06,2.69E-05,***,1.191206348
FcR2A,WT.S2,FcR,P,NInf,15,10,4.28E-06,3.55E-05,***,-1.832128088
FcR2B,WT.S2,FcR,P,NInf,15,10,4.28E-06,3.55E-05,***,-1.889566397
FcR3A,WT.RBD,FcR,P,NInf,15,10,4.28E-06,3.55E-05,***,0.907949852
FcR3A,WT.S2,FcR,P,NInf,15,10,4.28E-06,3.55E-05,***,-1.740153413
FcR3B,B.1.1.7.S,FcR,P,NInf,15,10,4.28E-06,3.55E-05,***,0.941572689
FcR3B,WT.S2,FcR,P,NInf,15,10,4.28E-06,3.55E-05,***,-1.861998622
IgG1,B.1.351.S,Titer,P,NInf,15,10,4.28E-06,3.55E-05,***,0.609447201
IgG1,P1.S,Titer,P,NInf,15,10,4.28E-06,3.55E-05,***,0.596050853
FcR2A,WT.RBD,FcR,M,NInf,16,10,4.52E-06,3.55E-05,***,1.028614161
FcR2B,B.1.1.7.S,FcR,M,NInf,16,10,4.52E-06,3.55E-05,***,1.154611041
FcR3A,B.1.617.2.RBD,FcR,M,NInf,16,10,4.52E-06,3.55E-05,***,1.239811085
FcR3A,WT.RBD,FcR,M,NInf,16,10,4.52E-06,3.55E-05,***,1.037888487
FcR2A,B.1.1.7.RBD,FcR,M,NInf,16,10,7.15E-06,4.54E-05,***,1.443017482
FcR2A,B.1.617.2.RBD,FcR,M,NInf,16,10,7.15E-06,4.54E-05,***,1.304659817
FcR2A,B.617.1.RBD,FcR,M,NInf,16,10,7.15E-06,4.54E-05,***,1.457854828
FcR2B,WT.RBD,FcR,M,NInf,16,10,7.15E-06,4.54E-05,***,1.473963665
FcR3A,B.1.1.7.RBD,FcR,M,NInf,16,10,7.15E-06,4.54E-05,***,1.367032092
FcR3B,B.1.1.7.S,FcR,M,NInf,16,10,7.15E-06,4.54E-05,***,1.055051697
FcR3B,WT.RBD,FcR,M,NInf,16,10,7.15E-06,4.54E-05,***,1.321809764
IgG1,B.617.2.S,Titer,M,NInf,16,10,7.15E-06,4.54E-05,***,0.745155445
IgG1,P1.S,Titer,M,NInf,16,10,7.15E-06,4.54E-05,***,0.827735338
IgG1,WT.S,Titer,M,NInf,16,10,7.15E-06,4.54E-05,***,0.879471346
IgG3,B.1.351.S,Titer,M,NInf,16,10,7.15E-06,4.54E-05,***,0.773001218
FcR2A,WT.RBD,FcR,P,NInf,15,10,7.34E-06,4.54E-05,***,0.947341526
IgG3,B.1.351.S,Titer,P,NInf,15,10,7.34E-06,4.54E-05,***,0.537702098
IgG3,WT.S1,Titer,P,NInf,15,10,7.34E-06,4.54E-05,***,0.873307926
FcR2B,B.1.1.7.RBD,FcR,M,NInf,16,10,1.13E-05,6.57E-05,***,1.336658717
IgG1,P1.RBD,Titer,M,NInf,16,10,1.13E-05,6.57E-05,***,0.23142704
FcR2A,B.617.1.RBD,FcR,P,NInf,15,10,1.16E-05,6.57E-05,***,1.108116798
FcR2B,WT.RBD,FcR,P,NInf,15,10,1.16E-05,6.57E-05,***,1.311179828
FcR3B,WT.RBD,FcR,P,NInf,15,10,1.16E-05,6.57E-05,***,1.184757799
IgM,WT.S2,Titer,P,NInf,15,10,1.16E-05,6.57E-05,***,-0.53036859
IgG1,B.1.1.7.RBD,Titer,M,NInf,16,10,1.69E-05,9.19E-05,***,0.924238045
IgG1,WT.RBD,Titer,M,NInf,16,10,1.69E-05,9.19E-05,***,1.191678383
IgG3,B.1.1.7.S,Titer,M,NInf,16,10,1.69E-05,9.19E-05,***,0.827623806
FcR2B,B.1.351.RBD,FcR,P,NInf,15,10,1.84E-05,9.38E-05,***,0.657829908
FcR3A,B.1.1.7.RBD,FcR,P,NInf,15,10,1.84E-05,9.38E-05,***,1.159028071
FcR3A,B.1.617.2.RBD,FcR,P,NInf,15,10,1.84E-05,9.38E-05,***,0.828726512
IgA,WT.S2,Titer,P,NInf,15,10,1.84E-05,9.38E-05,***,-0.474966597
IgG1,WT.S,Titer,P,NInf,15,10,1.84E-05,9.38E-05,***,0.593301375
FcR2B,B.1.351.S,FcR,M,NInf,16,10,2.52E-05,0.000123875,***,0.675772834
IgG3,B.617.2.S,Titer,M,NInf,16,10,2.52E-05,0.000123875,***,0.651028603
IgG3,WT.S,Titer,M,NInf,16,10,2.52E-05,0.000123875,***,0.759049464
FcR2A,P1.S,FcR,P,NInf,15,10,2.75E-05,0.000128966,***,0.304592866
FcR2B,B.1.1.7.RBD,FcR,P,NInf,15,10,2.75E-05,0.000128966,***,0.971641068
FcR2B,B.1.351.S,FcR,P,NInf,15,10,2.75E-05,0.000128966,***,0.566772257
FcR3B,B.1.351.S,FcR,P,NInf,15,10,2.75E-05,0.000128966,***,0.503260069
FcR3B,B.617.2.S,FcR,M,NInf,16,10,3.65E-05,0.000167326,***,0.515896651
IgM,WT.S2,Titer,M,NInf,16,10,3.65E-05,0.000167326,***,-0.571599287
FcR2A,B.1.1.7.RBD,FcR,P,NInf,15,10,4.10E-05,0.000181826,***,1.223601423
FcR2A,B.1.617.2.RBD,FcR,P,NInf,15,10,4.10E-05,0.000181826,***,0.820477975
FcR3B,B.1.351.RBD,FcR,P,NInf,15,10,4.10E-05,0.000181826,***,0.667007493
FcR2B,B.617.2.S,FcR,M,NInf,16,10,5.23E-05,0.000217739,***,0.586194911
FcR2B,WT.S,FcR,M,NInf,16,10,5.23E-05,0.000217739,***,0.911306316
IgA,WT.S2,Titer,M,NInf,16,10,5.23E-05,0.000217739,***,-0.54574085
IgG3,B.1.1.7.RBD,Titer,M,NInf,16,10,5.23E-05,0.000217739,***,0.887585239
IgG3,P1.S,Titer,M,NInf,16,10,5.23E-05,0.000217739,***,0.710230776
IgG3,WT.RBD,Titer,M,NInf,16,10,5.23E-05,0.000217739,***,1.060479439
IgG1,B.617.2.S,Titer,P,NInf,15,10,5.93E-05,0.000241944,***,0.486608435
IgG3,B.1.1.7.S,Titer,P,NInf,15,10,5.93E-05,0.000241944,***,0.605125408
FcR3B,B.1.351.S,FcR,M,NInf,16,10,7.30E-05,0.000289165,***,0.590853252
FcR3B,WT.S,FcR,M,NInf,16,10,7.30E-05,0.000289165,***,0.804783503
IgG3,P1.RBD,Titer,M,NInf,16,10,7.30E-05,0.000289165,***,0.231136315
FcR3B,WT.NTD,FcR,P,NInf,15,10,8.50E-05,0.000333462,***,-0.103191344
FcR3A,B.617.2.S,FcR,M,NInf,16,10,0.000101,0.000392457,***,0.369423877
FcR2A,B.617.2.S,FcR,P,NInf,15,10,0.000119,0.000445431,***,0.290411917
FcR2B,B.617.2.S,FcR,P,NInf,15,10,0.000119,0.000445431,***,0.451557726
IgG1,B.1.1.7.RBD,Titer,P,NInf,15,10,0.000119,0.000445431,***,0.621391493
IgG1,WT.RBD,Titer,P,NInf,15,10,0.000119,0.000445431,***,0.907678522
FcR2A,B.617.2.S,FcR,M,NInf,16,10,0.000138,0.000507243,***,0.392043301
FcR3A,WT.S,FcR,M,NInf,16,10,0.000138,0.000507243,***,0.544015972
FcR3A,B.1.351.S,FcR,P,NInf,15,10,0.000165,0.000595752,***,0.190718161
IgG3,P1.S,Titer,P,NInf,15,10,0.000165,0.000595752,***,0.467911758
FcR2B,B.1.351.RBD,FcR,M,NInf,16,10,0.000186,0.000665684,***,1.063764688
FcR2B,WT.S,FcR,P,NInf,15,10,0.000224,0.000794713,***,0.712028219
FcR2A,B.1.351.S,FcR,M,NInf,16,10,0.000248,0.000850286,***,0.249158116
FcR2B,P1.S,FcR,M,NInf,16,10,0.000248,0.000850286,***,0.815434578
FcR3B,B.1.351.RBD,FcR,M,NInf,16,10,0.000248,0.000850286,***,1.160874738
FcR3B,P1.S,FcR,M,NInf,16,10,0.000248,0.000850286,***,0.713657288
FcR2B,P1.S,FcR,P,NInf,15,10,0.000302,0.000993677,***,0.709637801
FcR3A,P1.S,FcR,P,NInf,15,10,0.000302,0.000993677,***,0.293199468
FcR3B,B.617.2.S,FcR,P,NInf,15,10,0.000302,0.000993677,***,0.391285959
IgG3,WT.RBD,Titer,P,NInf,15,10,0.000302,0.000993677,***,0.800283236
IgG3,WT.S,Titer,P,NInf,15,10,0.000302,0.000993677,***,0.446245534
FcR3B,B.1.1.7.RBD,FcR,M,NInf,16,10,0.000305,0.00099552,***,1.40333705
FcR2A,WT.S,FcR,M,NInf,16,10,0.000328,0.001037395,**,0.564708095
FcR2A,WT.S2,FcR,M,NInf,16,10,0.000328,0.001037395,**,-1.260821558
FcR3A,B.1.351.S,FcR,M,NInf,16,10,0.000328,0.001037395,**,0.253632444
FcR3B,WT.S2,FcR,M,NInf,16,10,0.000328,0.001037395,**,-1.712769358
FcR3B,B.1.1.7.RBD,FcR,P,NInf,15,10,0.000346,0.001085908,**,1.016583817
FcR3A,B.617.2.S,FcR,P,NInf,15,10,0.000403,0.001245636,**,0.267121343
FcR3B,WT.S,FcR,P,NInf,15,10,0.000403,0.001245636,**,0.637020684
FcR3A,WT.S2,FcR,M,NInf,16,10,0.000428,0.001312962,**,-1.209797147
FcR3A,WT.S,FcR,P,NInf,15,10,0.000532,0.001596,**,0.379888415
FcR3B,P1.S,FcR,P,NInf,15,10,0.000532,0.001596,**,0.509704077
IgG3,B.1.1.7.RBD,Titer,P,NInf,15,10,0.000532,0.001596,**,0.570215811
FcR2B,B.617.1.RBD,FcR,M,NInf,16,10,0.000555,0.001605957,**,0.925684546
FcR2B,WT.S2,FcR,M,NInf,16,10,0.000555,0.001605957,**,-1.725012455
FcR3A,P1.S,FcR,M,NInf,16,10,0.000555,0.001605957,**,0.41549912
FcR3B,B.617.1.RBD,FcR,M,NInf,16,10,0.000555,0.001605957,**,0.981910929
FcR3B,WT.NTD,FcR,M,NInf,16,10,0.000555,0.001605957,**,-0.079688664
FcR2A,WT.S,FcR,P,NInf,15,10,0.000694,0.001966333,**,0.425634435
FcR2B,B.617.1.RBD,FcR,P,NInf,15,10,0.000694,0.001966333,**,0.401596442
IgG3,B.617.2.S,Titer,P,NInf,15,10,0.000694,0.001966333,**,0.377780177
FcR2A,P1.S,FcR,M,NInf,16,10,0.000713,0.002006234,**,0.396828574
FcR2A,P1.RBD,FcR,M,NInf,16,10,0.001,0.002738255,**,0.327038106
FcR2A,WT.NTD,FcR,P,NInf,15,10,0.001,0.002738255,**,-0.120145937
FcR3B,B.617.1.RBD,FcR,P,NInf,15,10,0.001,0.002738255,**,0.419735122
IgG1,WT.S2,Titer,P,NInf,15,10,0.001,0.002738255,**,-0.97643552
FcR2B,B.1.617.2.RBD,FcR,M,NInf,16,10,0.002,0.005298701,**,0.508593199
FcR3A,P1.RBD,FcR,M,NInf,16,10,0.002,0.005298701,**,0.296497345
FcR3A,P1.RBD,FcR,P,NInf,15,10,0.002,0.005298701,**,0.107759479
FcR3B,B.1.617.2.RBD,FcR,M,NInf,16,10,0.002,0.005298701,**,0.634929447
IgG3,WT.S2,Titer,P,NInf,15,10,0.002,0.005298701,**,-1.037753165
IgA,B.1.351.S,Titer,P,NInf,15,10,0.004,0.010529032,*,0.514506941
FcR2B,B.1.617.2.RBD,FcR,P,NInf,15,10,0.007,0.018191083,*,0.085019142
FcR2B,WT.NTD,FcR,M,NInf,16,10,0.007,0.018191083,*,-0.103230098
FcR3A,WT.NTD,FcR,P,NInf,15,10,0.008,0.0204,*,-0.107226962
FcR3B,B.1.617.2.RBD,FcR,P,NInf,15,10,0.008,0.0204,*,0.122900639
IgM,B.1.351.S,Titer,P,NInf,15,10,0.008,0.0204,*,0.46439699
IgA,B.1.351.S,Titer,M,NInf,16,10,0.009,0.022666667,*,0.490659466
IgM,B.1.351.S,Titer,M,NInf,16,10,0.009,0.022666667,*,0.48081261
IgG1,WT.S2,Titer,P,M,15,16,0.011,0.027533742,*,-0.55291794
FcR2A,P1.RBD,FcR,P,NInf,15,10,0.012,0.029672727,*,0.107094274
IgG3,WT.S2,Titer,P,M,15,16,0.012,0.029672727,*,-0.52742633
IgG3,HKU1.Spike,Titer,P,NInf,15,10,0.016,0.039325301,*,-0.308620073
FcR2A,WT.S2,FcR,P,M,15,16,0.017,0.041532934,*,-0.57130653
FcR2A,WT.NTD,FcR,M,NInf,16,10,0.02,0.048571429,*,-0.103206686
FcR3A,WT.NTD,FcR,M,NInf,16,10,0.023,0.0552,,-0.114971895
IgM,WT.RBD,Titer,P,NInf,15,10,0.023,0.0552,,-0.344984156
FcR2B,WT.NTD,FcR,P,NInf,15,10,0.026,0.061674419,,-0.101688789
IgM,B.1.1.7.RBD,Titer,P,NInf,15,10,0.026,0.061674419,,-0.192284174
FcR3A,WT.S2,FcR,P,M,15,16,0.027,0.063676301,,-0.530356266
FcR3B,HKU1.Spike,FcR,M,NInf,16,10,0.031,0.07105618,,-0.444214059
IgA,WT.RBD,Titer,P,NInf,15,10,0.031,0.07105618,,-0.363612127
IgG1,OC43.Spike,Titer,P,NInf,15,10,0.031,0.07105618,,-0.409581326
IgG1,WT.NTD,Titer,M,NInf,16,10,0.031,0.07105618,,-0.053905929
IgG3,WT.NTD,Titer,P,NInf,15,10,0.031,0.07105618,,-0.047455882
IgA,B.617.1.S,Titer,M,NInf,16,10,0.036,0.081149171,,-0.260130531
IgG3,OC43.Spike,Titer,P,NInf,15,10,0.036,0.081149171,,-0.4821885
IgM,B.617.1.S,Titer,M,NInf,16,10,0.036,0.081149171,,-0.233115484
IgG1,WT.NTD,Titer,P,NInf,15,10,0.041,0.091409836,,-0.046207443
IgG3,HKU1.Spike,Titer,M,NInf,16,10,0.041,0.091409836,,-0.27933503
IgG1,B.617.1.S,Titer,M,NInf,16,10,0.047,0.103654054,,0.213096532
IgG3,WT.S2,Titer,M,NInf,16,10,0.047,0.103654054,,-0.510326834
IgG1,WT.S2,Titer,M,NInf,16,10,0.053,0.115350785,,-0.42351758
IgM,P1.RBD,Titer,M,NInf,16,10,0.053,0.115350785,,-0.237957919
FcR3B,HKU1.Spike,FcR,P,NInf,15,10,0.054,0.115350785,,-0.467314292
IgA,B.1.1.7.RBD,Titer,P,NInf,15,10,0.054,0.115350785,,-0.278209265
IgG1,HKU1.Spike,Titer,P,NInf,15,10,0.054,0.115350785,,-0.201701736
IgG1,P1.RBD,Titer,P,M,15,16,0.054,0.115350785,,-0.13266076
FcR2A,HKU1.Spike,FcR,M,NInf,16,10,0.06,0.125538462,,-0.443552281
FcR2B,B.1.617.2.RBD,FcR,P,M,15,16,0.06,0.125538462,,-0.423574056
FcR2B,WT.S2,FcR,P,M,15,16,0.06,0.125538462,,-0.164553942
IgG3,P1.RBD,Titer,P,M,15,16,0.06,0.125538462,,-0.117613271
